,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
261,Puerto Escondido,MX,15.86,-97.07,2019-06-30T16:32:00Z,87.8,62,75,9.17
262,Nipawin,CA,53.36,-104.02,2019-06-30T16:32:28Z,66.2,68,1,18.34
263,Kulhudhuffushi,MV,6.62,73.07,2019-06-30T16:32:53Z,83.96,77,100,11.99
264,Breyten,ZA,-26.3,29.99,2019-06-30T16:32:53Z,49.94,30,20,3.83
265,Anyang,CN,36.1,114.34,2019-06-30T16:32:53Z,73.7,26,0,2.42
266,Rafaela,AR,-31.25,-61.49,2019-06-30T16:32:53Z,53.01,73,0,10.0
267,Shankargarh,IN,25.19,81.61,2019-06-30T16:32:53Z,99.26,28,34,3.02
268,Komsomolskiy,RU,67.55,63.78,2019-06-30T16:32:54Z,58.4,88,58,16.37
269,Vila do Maio,CV,15.13,-23.22,2019-06-30T16:32:54Z,84.2,51,20,17.22
270,Ostrovnoy,RU,68.05,39.51,2019-06-30T16:32:54Z,43.46,68,100,21.03
271,Sola,VU,-13.88,167.55,2019-06-30T16:32:54Z,78.2,77,95,12.88
272,Katherine,AU,-14.47,132.26,2019-06-30T16:32:54Z,68.0,64,0,4.7
273,Cap Malheureux,MU,-19.98,57.61,2019-06-30T16:31:03Z,71.6,60,20,17.22
274,Alta,NO,69.97,23.27,2019-06-30T16:29:06Z,53.6,50,0,6.93
275,Touros,BR,-5.2,-35.46,2019-06-30T16:32:55Z,78.8,83,75,16.11
276,Paralimni,CY,35.04,33.98,2019-06-30T16:28:08Z,91.4,70,20,10.29
277,Benalla,AU,-36.55,145.99,2019-06-30T16:32:55Z,50.0,87,90,6.93
278,Vagay,RU,57.94,69.02,2019-06-30T16:32:55Z,58.76,95,56,5.21
279,Faanui,PF,-16.48,-151.75,2019-06-30T16:32:55Z,76.4,76,78,23.71
280,Nanortalik,GL,60.14,-45.24,2019-06-30T16:32:55Z,39.86,79,8,7.99
281,Ontario,US,34.07,-117.65,2019-06-30T16:32:55Z,82.0,38,1,4.7
282,Sur,OM,22.57,59.53,2019-06-30T16:32:55Z,90.44,51,6,12.57
283,Wageningen,SR,5.77,-56.69,2019-06-30T16:32:56Z,81.8,75,8,11.43
284,Kavaratti,IN,10.57,72.64,2019-06-30T16:32:56Z,83.6,76,100,16.62
285,San Patricio,MX,19.22,-104.7,2019-06-30T16:32:56Z,84.2,74,75,6.93
286,Bredasdorp,ZA,-34.53,20.04,2019-06-30T16:32:56Z,60.8,77,0,4.7
287,Basco,PH,20.45,121.97,2019-06-30T16:32:56Z,85.4,74,2,1.81
288,Mvangue,CM,2.97,11.5,2019-06-30T16:32:56Z,70.1,97,100,4.97
289,Mount Gambier,AU,-37.83,140.78,2019-06-30T16:31:39Z,56.96,79,86,30.47
290,Manakara,MG,-22.14,48.01,2019-06-30T16:32:56Z,66.14,86,12,2.55
291,Caluquembe,AO,-13.78,14.68,2019-06-30T16:32:57Z,62.36,35,0,3.13
292,Ussel,FR,45.55,2.31,2019-06-30T16:32:57Z,84.0,68,0,1.01
